site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PITN 12AUG23 2012.6434 56162 1702 4  -42.8    772  0.881955   -564218  0.002617    67  0.975885  0.0080 0.000727 0.000655 0.002816 -0.047493  0.077250 -0.026771  -5.1024801118  -42.7930296451    67.97588
PITN 12AUG24 2012.6461 56163 1702 5  -42.8    772  0.879700   -564218  0.004741    67  0.976949  0.0080 0.000721 0.000652 0.002814 -0.040351  0.079389 -0.030057  -5.1024800926  -42.7930296654    67.97695
PITN 12AUG25 2012.6489 56164 1702 6  -42.8    772  0.881341   -564218  0.002108    67  0.974138  0.0080 0.000723 0.000643 0.002775 -0.054799  0.084857 -0.056483  -5.1024801164  -42.7930296506    67.97414
PITN 12AUG26 2012.6516 56165 1703 0  -42.8    772  0.881068   -564218  0.003798    67  0.972978  0.0080 0.000730 0.000652 0.002827 -0.057665  0.074822 -0.062628  -5.1024801011  -42.7930296531    67.97298
PITN 12AUG27 2012.6543 56166 1703 1  -42.8    772  0.879646   -564218  0.003686    67  0.971602  0.0080 0.000740 0.000675 0.002929 -0.036900  0.063306 -0.044103  -5.1024801021  -42.7930296659    67.97160
PITN 12AUG28 2012.6571 56167 1703 2  -42.8    772  0.881077   -564218  0.002329    67  0.978645  0.0080 0.000797 0.000714 0.003104 -0.076923  0.071972 -0.030032  -5.1024801144  -42.7930296530    67.97865
PITN 12AUG29 2012.6598 56168 1703 3  -42.8    772  0.881967   -564218  0.000903    67  0.969375  0.0080 0.000772 0.000697 0.002967 -0.042474  0.081283 -0.038639  -5.1024801273  -42.7930296450    67.96938
PITN 12AUG30 2012.6626 56169 1703 4  -42.8    772  0.881399   -564218  0.002248    67  0.969769  0.0080 0.000743 0.000684 0.002941 -0.038063  0.049233 -0.072804  -5.1024801151  -42.7930296501    67.96977
PITN 12AUG31 2012.6653 56170 1703 5  -42.8    772  0.881390   -564218  0.004154    67  0.974959  0.0080 0.000736 0.000666 0.002856 -0.047548  0.071334 -0.057192  -5.1024800979  -42.7930296502    67.97496
PITN 12SEP01 2012.6680 56171 1703 6  -42.8    772  0.882271   -564218  0.001373    67  0.968452  0.0080 0.000734 0.000675 0.002906 -0.059134  0.064580 -0.052993  -5.1024801231  -42.7930296422    67.96845
PITN 12SEP02 2012.6708 56172 1704 0  -42.8    772  0.882133   -564218  0.001839    67  0.977299  0.0080 0.000740 0.000666 0.002861 -0.066165  0.052208 -0.044818  -5.1024801188  -42.7930296435    67.97730
PITN 12SEP03 2012.6735 56173 1704 1  -42.8    772  0.881544   -564218  0.000315    67  0.970828  0.0080 0.000748 0.000671 0.002894 -0.060249  0.051203 -0.045380  -5.1024801326  -42.7930296488    67.97083
PITN 12SEP04 2012.6762 56174 1704 2  -42.8    772  0.883501   -564218  0.002863    67  0.971340  0.0080 0.000743 0.000662 0.002891 -0.055019  0.058938 -0.021391  -5.1024801096  -42.7930296311    67.97134
PITN 12SEP05 2012.6790 56175 1704 3  -42.8    772  0.882472   -564218  0.000483    67  0.973240  0.0080 0.000738 0.000662 0.002829 -0.060800  0.047501 -0.040040  -5.1024801311  -42.7930296404    67.97324
PITN 12SEP06 2012.6817 56176 1704 4  -42.8    772  0.882351   -564218  0.000116    67  0.975173  0.0080 0.000735 0.000664 0.002831 -0.056637  0.030018 -0.054739  -5.1024801344  -42.7930296415    67.97517
PITN 12SEP07 2012.6845 56177 1704 5  -42.8    772  0.882989   -564218  0.000826    67  0.974802  0.0080 0.000745 0.000681 0.002903 -0.053618  0.090307 -0.059836  -5.1024801280  -42.7930296358    67.97480
PITN 12SEP08 2012.6872 56178 1704 6  -42.8    772  0.881452   -564218  0.002771    67  0.975808  0.0080 0.000731 0.000671 0.002850 -0.043646  0.055279 -0.028903  -5.1024801104  -42.7930296496    67.97581
PITN 12SEP09 2012.6899 56179 1705 0  -42.8    772  0.883676   -564218  0.002123    67  0.974450  0.0080 0.000735 0.000665 0.002833 -0.055879  0.070523 -0.018752  -5.1024801163  -42.7930296296    67.97445
PITN 12SEP10 2012.6927 56180 1705 1  -42.8    772  0.882547   -564218  0.003074    67  0.976208  0.0080 0.000765 0.000679 0.002897 -0.045647  0.050705 -0.042399  -5.1024801077  -42.7930296397    67.97621
PITN 12SEP11 2012.6954 56181 1705 2  -42.8    772  0.883636   -564218  0.004125    67  0.972861  0.0080 0.000788 0.000684 0.002984 -0.064432  0.046500 -0.044012  -5.1024800982  -42.7930296299    67.97286
PITN 12SEP12 2012.6982 56182 1705 3  -42.8    772  0.881701   -564218  0.003513    67  0.982052  0.0080 0.000768 0.000677 0.002907 -0.069510  0.071004 -0.051933  -5.1024801037  -42.7930296474    67.98205
PITN 12SEP13 2012.7009 56183 1705 4  -42.8    772  0.880718   -564218  0.005043    67  0.968341  0.0080 0.000788 0.000683 0.002977 -0.060910  0.043782 -0.037065  -5.1024800899  -42.7930296562    67.96834
PITN 12SEP14 2012.7036 56184 1705 5  -42.8    772  0.883188   -564218  0.004722    67  0.981691  0.0080 0.000752 0.000678 0.002914 -0.041320  0.061179 -0.018700  -5.1024800928  -42.7930296340    67.98169
PITN 12SEP15 2012.7064 56185 1705 6  -42.8    772  0.882350   -564218  0.006140    67  0.972132  0.0080 0.000749 0.000678 0.002930 -0.053074  0.080470 -0.053659  -5.1024800800  -42.7930296415    67.97213
PITN 12SEP16 2012.7091 56186 1706 0  -42.8    772  0.884891   -564218  0.000888    67  0.986410  0.0080 0.000745 0.000666 0.002825 -0.061293  0.025708 -0.037341  -5.1024801274  -42.7930296186    67.98641
PITN 12SEP17 2012.7118 56187 1706 1  -42.8    772  0.885177   -564218  0.002979    67  0.974695  0.0080 0.000745 0.000671 0.002870 -0.047701  0.067424 -0.014140  -5.1024801085  -42.7930296160    67.97469
PITN 12SEP18 2012.7146 56188 1706 2  -42.8    772  0.884098   -564218  0.000452    67  0.981990  0.0080 0.000758 0.000663 0.002854 -0.044297  0.091460 -0.034977  -5.1024801314  -42.7930296258    67.98199
PITN 12SEP19 2012.7173 56189 1706 3  -42.8    772  0.884618   -564218 -0.000950    67  0.977483  0.0080 0.000742 0.000669 0.002843 -0.062214  0.046778 -0.029345  -5.1024801441  -42.7930296211    67.97748
PITN 12SEP20 2012.7201 56190 1706 4  -42.8    772  0.884159   -564218  0.002333    67  0.981756  0.0080 0.000767 0.000687 0.002976 -0.041107  0.075686 -0.048239  -5.1024801144  -42.7930296252    67.98176
PITN 12SEP21 2012.7228 56191 1706 5  -42.8    772  0.881947   -564218  0.002153    67  0.982187  0.0080 0.000770 0.000706 0.002991 -0.071116  0.057710 -0.065766  -5.1024801160  -42.7930296452    67.98219
PITN 12SEP22 2012.7255 56192 1706 6  -42.8    772  0.883983   -564218  0.001833    67  0.973827  0.0080 0.000748 0.000691 0.002917 -0.055329  0.040204 -0.052101  -5.1024801189  -42.7930296268    67.97383
PITN 12SEP23 2012.7283 56193 1707 0  -42.8    772  0.883697   -564218  0.003576    67  0.974791  0.0080 0.000760 0.000681 0.002902 -0.064149  0.057690 -0.020344  -5.1024801031  -42.7930296294    67.97479
PITN 12SEP24 2012.7310 56194 1707 1  -42.8    772  0.882821   -564218  0.005241    67  0.977495  0.0080 0.000785 0.000714 0.003107 -0.048617  0.113171 -0.026590  -5.1024800881  -42.7930296373    67.97750
PITN 12SEP25 2012.7337 56195 1707 2  -42.8    772  0.885121   -564218  0.005577    67  0.974752  0.0080 0.000757 0.000695 0.002981 -0.034661  0.074019 -0.020541  -5.1024800850  -42.7930296165    67.97475
PITN 12SEP26 2012.7365 56196 1707 3  -42.8    772  0.883577   -564218  0.005513    67  0.981698  0.0080 0.000749 0.000685 0.002906 -0.051461  0.065383 -0.034030  -5.1024800856  -42.7930296305    67.98170
PITN 12SEP27 2012.7392 56197 1707 4  -42.8    772  0.880720   -564218  0.002557    67  0.980000  0.0080 0.000779 0.000710 0.003047 -0.062176  0.056796 -0.002996  -5.1024801124  -42.7930296562    67.98000
PITN 12SEP28 2012.7420 56198 1707 5  -42.8    772  0.882168   -564218  0.005954    67  0.975214  0.0080 0.000804 0.000720 0.003089 -0.051268  0.013572 -0.045450  -5.1024800816  -42.7930296432    67.97521
PITN 12SEP29 2012.7447 56199 1707 6  -42.8    772  0.881501   -564218  0.004775    67  0.976059  0.0080 0.000768 0.000685 0.002956 -0.052360  0.079269 -0.022073  -5.1024800923  -42.7930296492    67.97606
PITN 12SEP30 2012.7474 56200 1708 0  -42.8    772  0.880192   -564218  0.004122    67  0.974938  0.0080 0.000760 0.000678 0.002938 -0.044165  0.092415 -0.011081  -5.1024800982  -42.7930296610    67.97494
PITN 12OCT01 2012.7502 56201 1708 1  -42.8    772  0.883161   -564218  0.005178    67  0.980627  0.0080 0.000749 0.000683 0.002952 -0.029999  0.121857 -0.023429  -5.1024800887  -42.7930296342    67.98063
PITN 12OCT02 2012.7529 56202 1708 2  -42.8    772  0.884314   -564218  0.003881    67  0.984591  0.0080 0.000787 0.000709 0.003049 -0.060075  0.111262 -0.031078  -5.1024801004  -42.7930296238    67.98459
PITN 12OCT03 2012.7556 56203 1708 3  -42.8    772  0.884242   -564218  0.004431    67  0.983650  0.0080 0.000785 0.000695 0.002984 -0.047002  0.039882 -0.041733  -5.1024800954  -42.7930296245    67.98365
PITN 12OCT04 2012.7584 56204 1708 4  -42.8    772  0.884206   -564218  0.003967    67  0.975087  0.0080 0.000776 0.000687 0.002973 -0.042410  0.067703 -0.060906  -5.1024800996  -42.7930296248    67.97509
PITN 12OCT05 2012.7611 56205 1708 5  -42.8    772  0.884114   -564218  0.004878    67  0.978470  0.0080 0.000773 0.000692 0.003013 -0.052857  0.052334  0.003917  -5.1024800914  -42.7930296256    67.97847
PITN 12OCT06 2012.7639 56206 1708 6  -42.8    772  0.882060   -564218  0.003794    67  0.979949  0.0080 0.000750 0.000676 0.002902 -0.041545  0.065055 -0.048413  -5.1024801012  -42.7930296441    67.97995
PITN 12OCT07 2012.7666 56207 1709 0  -42.8    772  0.886381   -564218  0.003213    67  0.980760  0.0080 0.000754 0.000698 0.003019 -0.015206  0.074609 -0.055981  -5.1024801064  -42.7930296052    67.98076
PITN 12OCT08 2012.7693 56208 1709 1  -42.8    772  0.884579   -564218  0.005260    67  0.978430  0.0080 0.000749 0.000672 0.002895 -0.039931  0.102303 -0.028261  -5.1024800879  -42.7930296214    67.97843
PITN 12OCT09 2012.7721 56209 1709 2  -42.8    772  0.882930   -564218  0.005152    67  0.977395  0.0080 0.000775 0.000704 0.003004 -0.034265  0.080800 -0.044487  -5.1024800889  -42.7930296363    67.97740
PITN 12OCT10 2012.7748 56210 1709 3  -42.8    772  0.883434   -564218  0.004173    67  0.973815  0.0080 0.000982 0.000911 0.004097 -0.081616  0.144333 -0.065994  -5.1024800977  -42.7930296317    67.97381
PITN 12OCT11 2012.7775 56211 1709 4  -42.8    772  0.884845   -564218  0.002914    67  0.981256  0.0080 0.000741 0.000681 0.002944 -0.008730  0.082485 -0.047571  -5.1024801091  -42.7930296190    67.98126
PITN 12OCT12 2012.7803 56212 1709 5  -42.8    772  0.884811   -564218  0.003962    67  0.984029  0.0080 0.000734 0.000668 0.002888 -0.033473  0.099749 -0.050774  -5.1024800997  -42.7930296193    67.98403
PITN 12OCT13 2012.7830 56213 1709 6  -42.8    772  0.884247   -564218  0.005549    67  0.976528  0.0080 0.000744 0.000685 0.002949 -0.049314  0.093018 -0.044005  -5.1024800853  -42.7930296244    67.97653
PITN 12OCT14 2012.7858 56214 1710 0  -42.8    772  0.881985   -564218  0.005374    67  0.974318  0.0080 0.000763 0.000717 0.003078 -0.060315  0.097351 -0.047743  -5.1024800869  -42.7930296448    67.97432
PITN 12OCT15 2012.7885 56215 1710 1  -42.8    772  0.881420   -564218  0.004611    67  0.976571  0.0080 0.000773 0.000714 0.003126 -0.068899  0.086894  0.002613  -5.1024800938  -42.7930296499    67.97657
PITN 12OCT16 2012.7912 56216 1710 2  -42.8    772  0.884383   -564218  0.003900    67  0.982960  0.0080 0.000793 0.000723 0.003218 -0.056402  0.058932  0.009390  -5.1024801002  -42.7930296232    67.98296
PITN 12OCT17 2012.7940 56217 1710 3  -42.8    772  0.882397   -564218  0.003312    67  0.975165  0.0080 0.000787 0.000728 0.003136 -0.052403  0.059504 -0.040971  -5.1024801055  -42.7930296411    67.97517
PITN 12OCT18 2012.7967 56218 1710 4  -42.8    772  0.880450   -564218  0.002933    67  0.983295  0.0080 0.000767 0.000706 0.003023 -0.038339  0.074550 -0.030482  -5.1024801089  -42.7930296587    67.98330
PITN 12OCT19 2012.7995 56219 1710 5  -42.8    772  0.882065   -564218  0.003318    67  0.975057  0.0080 0.000759 0.000705 0.002979 -0.087307  0.063342 -0.030641  -5.1024801055  -42.7930296441    67.97506
PITN 12OCT20 2012.8022 56220 1710 6  -42.8    772  0.883507   -564218  0.005316    67  0.975210  0.0080 0.000761 0.000704 0.003044 -0.071155  0.078998 -0.016254  -5.1024800874  -42.7930296311    67.97521
PITN 12OCT21 2012.8049 56221 1711 0  -42.8    772  0.882636   -564218  0.001600    67  0.978189  0.0080 0.000752 0.000700 0.003007 -0.052211  0.066943 -0.050049  -5.1024801210  -42.7930296389    67.97819
PITN 12OCT22 2012.8077 56222 1711 1  -42.8    772  0.883405   -564218  0.005970    67  0.979096  0.0080 0.000764 0.000703 0.003031 -0.059230  0.071522 -0.031345  -5.1024800815  -42.7930296320    67.97910
PITN 12OCT23 2012.8104 56223 1711 2  -42.8    772  0.881880   -564218  0.006114    67  0.982153  0.0080 0.000776 0.000714 0.003127 -0.077640  0.044122 -0.019519  -5.1024800802  -42.7930296458    67.98215
PITN 12OCT24 2012.8131 56224 1711 3  -42.8    772  0.883080   -564218  0.003790    67  0.976696  0.0080 0.000779 0.000711 0.003084 -0.071845  0.062698 -0.039402  -5.1024801012  -42.7930296349    67.97670
PITN 12OCT25 2012.8159 56225 1711 4  -42.8    772  0.882144   -564218  0.003237    67  0.976985  0.0080 0.000767 0.000703 0.003046 -0.081748  0.072946 -0.001891  -5.1024801062  -42.7930296434    67.97698
PITN 12OCT26 2012.8186 56226 1711 5  -42.8    772  0.882410   -564218  0.005002    67  0.981051  0.0080 0.000780 0.000729 0.003216 -0.054284  0.060390 -0.053285  -5.1024800902  -42.7930296410    67.98105
PITN 12OCT27 2012.8214 56227 1711 6  -42.8    772  0.881884   -564218  0.003090    67  0.970662  0.0080 0.000767 0.000715 0.003095 -0.019214  0.093998 -0.020832  -5.1024801075  -42.7930296457    67.97066
PITN 12OCT28 2012.8241 56228 1712 0  -42.8    772  0.884393   -564218  0.004757    67  0.973717  0.0080 0.000762 0.000712 0.003047 -0.052640  0.075554 -0.029009  -5.1024800925  -42.7930296231    67.97372
PITN 12OCT29 2012.8268 56229 1712 1  -42.8    772  0.883613   -564218  0.003622    67  0.987076  0.0080 0.000769 0.000721 0.003132 -0.041523  0.099511 -0.053945  -5.1024801027  -42.7930296301    67.98708
PITN 12OCT30 2012.8296 56230 1712 2  -42.8    772  0.882373   -564218  0.006038    67  0.978125  0.0080 0.000757 0.000703 0.003027 -0.041174  0.066337 -0.020526  -5.1024800809  -42.7930296413    67.97813
PITN 12OCT31 2012.8323 56231 1712 3  -42.8    772  0.881761   -564218  0.004202    67  0.972715  0.0080 0.000773 0.000717 0.003127 -0.061623  0.072712 -0.067682  -5.1024800975  -42.7930296468    67.97272
PITN 12NOV01 2012.8350 56232 1712 4  -42.8    772  0.880827   -564218  0.004637    67  0.979548  0.0080 0.000760 0.000700 0.002996 -0.056917  0.053687 -0.052624  -5.1024800935  -42.7930296553    67.97955
PITN 12NOV02 2012.8378 56233 1712 5  -42.8    772  0.883018   -564218  0.004967    67  0.975397  0.0080 0.000787 0.000725 0.003203 -0.055871  0.105716 -0.089550  -5.1024800906  -42.7930296355    67.97540
PITN 12NOV03 2012.8405 56234 1712 6  -42.8    772  0.880146   -564218  0.004726    67  0.979977  0.0080 0.000765 0.000702 0.003078 -0.033335  0.079687 -0.010589  -5.1024800927  -42.7930296614    67.97998
PITN 12NOV04 2012.8433 56235 1713 0  -42.8    772  0.883216   -564218  0.005451    67  0.978593  0.0080 0.000774 0.000720 0.003163 -0.057324  0.054456 -0.041871  -5.1024800862  -42.7930296337    67.97859
PITN 12NOV05 2012.8460 56236 1713 1  -42.8    772  0.880750   -564218  0.005758    67  0.979111  0.0080 0.000781 0.000715 0.003105 -0.075987  0.083908 -0.007675  -5.1024800834  -42.7930296559    67.97911
PITN 12NOV06 2012.8487 56237 1713 2  -42.8    772  0.882021   -564218  0.007682    67  0.975341  0.0080 0.000754 0.000684 0.002936 -0.044552  0.090292 -0.035377  -5.1024800660  -42.7930296445    67.97534
PITN 12NOV07 2012.8515 56238 1713 3  -42.8    772  0.883778   -564218  0.008688    67  0.982893  0.0080 0.000761 0.000707 0.003096 -0.048170  0.091963  0.048490  -5.1024800569  -42.7930296286    67.98289
PITN 12NOV08 2012.8542 56239 1713 4  -42.8    772  0.879101   -564218  0.005022    67  0.980743  0.0080 0.000776 0.000710 0.003078 -0.072199  0.096689 -0.005740  -5.1024800901  -42.7930296708    67.98074
PITN 12NOV09 2012.8569 56240 1713 5  -42.8    772  0.879194   -564218  0.006100    67  0.970325  0.0080 0.000759 0.000694 0.002948 -0.061107  0.080955 -0.023800  -5.1024800803  -42.7930296700    67.97032
PITN 12NOV10 2012.8597 56241 1713 6  -42.8    772  0.877343   -564218  0.003243    67  0.973499  0.0080 0.000784 0.000721 0.003174 -0.045656  0.098862  0.019549  -5.1024801061  -42.7930296867    67.97350
PITN 12NOV11 2012.8624 56242 1714 0  -42.8    772  0.881780   -564218  0.004260    67  0.972102  0.0080 0.000784 0.000722 0.003136 -0.077225  0.070471 -0.029103  -5.1024800970  -42.7930296467    67.97210
PITN 12NOV12 2012.8652 56243 1714 1  -42.8    772  0.879719   -564218  0.006962    67  0.978959  0.0080 0.000770 0.000705 0.003113 -0.032111  0.131436 -0.001918  -5.1024800725  -42.7930296652    67.97896
PITN 12NOV13 2012.8679 56244 1714 2  -42.8    772  0.880574   -564218  0.004860    67  0.977904  0.0080 0.000802 0.000736 0.003179 -0.040415  0.048947 -0.040621  -5.1024800915  -42.7930296575    67.97790
PITN 12NOV14 2012.8706 56245 1714 3  -42.8    772  0.880229   -564218  0.006465    67  0.975354  0.0080 0.000746 0.000678 0.002963 -0.045014  0.097459 -0.039098  -5.1024800770  -42.7930296607    67.97535
PITN 12NOV15 2012.8734 56246 1714 4  -42.8    772  0.879916   -564218  0.006257    67  0.982157  0.0080 0.000776 0.000723 0.003137 -0.068713  0.106491 -0.007731  -5.1024800789  -42.7930296635    67.98216
PITN 12NOV16 2012.8761 56247 1714 5  -42.8    772  0.881588   -564218  0.007410    67  0.981968  0.0080 0.000766 0.000723 0.003113 -0.049378  0.102799 -0.056918  -5.1024800685  -42.7930296484    67.98197
PITN 12NOV17 2012.8789 56248 1714 6  -42.8    772  0.880087   -564218  0.005412    67  0.980097  0.0080 0.000755 0.000705 0.003031 -0.083398  0.077092 -0.032653  -5.1024800865  -42.7930296619    67.98010
PITN 12NOV18 2012.8816 56249 1715 0  -42.8    772  0.880942   -564218  0.005602    67  0.972535  0.0080 0.000759 0.000695 0.003001 -0.089220  0.071494 -0.071511  -5.1024800848  -42.7930296542    67.97254
PITN 12NOV19 2012.8843 56250 1715 1  -42.8    772  0.880040   -564218  0.004839    67  0.971764  0.0080 0.000768 0.000705 0.003007 -0.070511  0.126555 -0.052102  -5.1024800917  -42.7930296624    67.97176
PITN 12NOV20 2012.8871 56251 1715 2  -42.8    772  0.881351   -564218  0.004889    67  0.979459  0.0080 0.000768 0.000687 0.002936 -0.070952  0.119695 -0.063053  -5.1024800913  -42.7930296505    67.97946
PITN 12NOV21 2012.8898 56252 1715 3  -42.8    772  0.880150   -564218  0.004207    67  0.975187  0.0080 0.000751 0.000690 0.002923 -0.051112  0.075791 -0.033720  -5.1024800974  -42.7930296614    67.97519
PITN 12NOV22 2012.8925 56253 1715 4  -42.8    772  0.881109   -564218  0.007151    67  0.976617  0.0080 0.000742 0.000690 0.003000 -0.041545  0.080379 -0.039843  -5.1024800708  -42.7930296527    67.97662
PITN 12NOV23 2012.8953 56254 1715 5  -42.8    772  0.878568   -564218  0.007934    67  0.977934  0.0080 0.000745 0.000674 0.002953 -0.072604  0.034472 -0.025397  -5.1024800637  -42.7930296756    67.97793
PITN 12NOV24 2012.8980 56255 1715 6  -42.8    772  0.873631   -564218  0.007711    67  0.965099  0.0080 0.000785 0.000714 0.003144 -0.051995  0.081291 -0.018444  -5.1024800657  -42.7930297202    67.96510
PITN 12NOV25 2012.9008 56256 1716 0  -42.8    772  0.878600   -564218  0.005281    67  0.973757  0.0080 0.000753 0.000690 0.003002 -0.045165  0.074921 -0.034607  -5.1024800877  -42.7930296753    67.97376
PITN 12NOV26 2012.9035 56257 1716 1  -42.8    772  0.877863   -564218  0.003065    67  0.982703  0.0080 0.001052 0.000934 0.003961 -0.138358  0.059068 -0.026836  -5.1024801078  -42.7930296820    67.98270
PITN 12NOV27 2012.9062 56258 1716 2  -42.8    772  0.879980   -564218  0.004985    67  0.978418  0.0080 0.000787 0.000707 0.003051 -0.094099  0.066358 -0.032974  -5.1024800904  -42.7930296629    67.97842
PITN 12NOV28 2012.9090 56259 1716 3  -42.8    772  0.879201   -564218  0.005731    67  0.978768  0.0080 0.000748 0.000688 0.002996 -0.070314  0.075000 -0.025386  -5.1024800836  -42.7930296699    67.97877
PITN 12NOV29 2012.9117 56260 1716 4  -42.8    772  0.879927   -564218  0.005223    67  0.985163  0.0080 0.000742 0.000672 0.002956 -0.045792  0.075468 -0.017803  -5.1024800882  -42.7930296634    67.98516
PITN 12NOV30 2012.9144 56261 1716 5  -42.8    772  0.879141   -564218  0.005882    67  0.980640  0.0080 0.000766 0.000694 0.003012 -0.059825  0.077621 -0.027486  -5.1024800823  -42.7930296705    67.98064
PITN 12DEC01 2012.9172 56262 1716 6  -42.8    772  0.876077   -564218  0.007725    67  0.968808  0.0080 0.000763 0.000705 0.003096 -0.061272  0.064304 -0.076497  -5.1024800656  -42.7930296981    67.96881
PITN 12DEC02 2012.9199 56263 1717 0  -42.8    772  0.876874   -564218  0.007073    67  0.969919  0.0080 0.000745 0.000682 0.002947 -0.060661  0.075481 -0.041355  -5.1024800715  -42.7930296909    67.96992
PITN 12DEC03 2012.9227 56264 1717 1  -42.8    772  0.878822   -564218  0.007183    67  0.977114  0.0080 0.000765 0.000701 0.003050 -0.068186  0.098593 -0.058635  -5.1024800705  -42.7930296733    67.97711
PITN 12DEC04 2012.9254 56265 1717 2  -42.8    772  0.876231   -564218  0.008427    67  0.981986  0.0080 0.000753 0.000685 0.003017 -0.059013  0.063112 -0.039779  -5.1024800593  -42.7930296967    67.98199
PITN 12DEC05 2012.9281 56266 1717 3  -42.8    772  0.878102   -564218  0.007407    67  0.972668  0.0080 0.000767 0.000679 0.003051 -0.040877  0.092622 -0.001617  -5.1024800685  -42.7930296798    67.97267
PITN 12DEC06 2012.9309 56267 1717 4  -42.8    772  0.880054   -564218  0.005236    67  0.988048  0.0080 0.000759 0.000677 0.002963 -0.003813  0.092003 -0.045823  -5.1024800881  -42.7930296622    67.98805
PITN 12DEC07 2012.9336 56268 1717 5  -42.8    772  0.877893   -564218  0.006242    67  0.973169  0.0080 0.000770 0.000686 0.003016 -0.044093  0.110614 -0.041236  -5.1024800790  -42.7930296817    67.97317
PITN 12DEC08 2012.9363 56269 1717 6  -42.8    772  0.877107   -564218  0.006506    67  0.969512  0.0080 0.000751 0.000677 0.002956 -0.043835  0.077205 -0.054868  -5.1024800766  -42.7930296888    67.96951
PITN 12DEC09 2012.9391 56270 1718 0  -42.8    772  0.876971   -564218  0.005804    67  0.976972  0.0080 0.000776 0.000692 0.003063 -0.034561  0.106167 -0.030094  -5.1024800830  -42.7930296900    67.97697
PITN 12DEC10 2012.9418 56271 1718 1  -42.8    772  0.876484   -564218  0.006849    67  0.980360  0.0080 0.000745 0.000674 0.002955 -0.026927  0.098363 -0.049026  -5.1024800735  -42.7930296944    67.98036
PITN 12DEC11 2012.9446 56272 1718 2  -42.8    772  0.879544   -564218  0.005418    67  0.986588  0.0080 0.000769 0.000695 0.003108 -0.008138  0.115133 -0.050584  -5.1024800865  -42.7930296668    67.98659
PITN 12DEC12 2012.9473 56273 1718 3  -42.8    772  0.879124   -564218  0.008404    67  0.981733  0.0080 0.000784 0.000703 0.003059 -0.006943  0.088217 -0.062600  -5.1024800595  -42.7930296706    67.98173
PITN 12DEC13 2012.9500 56274 1718 4  -42.8    772  0.878195   -564218  0.008238    67  0.979180  0.0080 0.000792 0.000706 0.003136 -0.027947  0.085071 -0.042711  -5.1024800610  -42.7930296790    67.97918
PITN 12DEC14 2012.9528 56275 1718 5  -42.8    772  0.878210   -564218  0.007882    67  0.974415  0.0080 0.000765 0.000689 0.003065 -0.029441  0.102648 -0.011002  -5.1024800642  -42.7930296789    67.97441
PITN 12DEC15 2012.9555 56276 1718 6  -42.8    772  0.878032   -564218  0.009959    67  0.972717  0.0080 0.000778 0.000702 0.003139 -0.020658  0.095439 -0.040614  -5.1024800454  -42.7930296805    67.97272
PITN 12DEC16 2012.9582 56277 1719 0  -42.8    772  0.876364   -564218  0.008052    67  0.984295  0.0080 0.000785 0.000717 0.003130 -0.030740  0.109168 -0.011740  -5.1024800627  -42.7930296955    67.98430
PITN 12DEC17 2012.9610 56278 1719 1  -42.8    772  0.875826   -564218  0.006950    67  0.976679  0.0080 0.000801 0.000736 0.003300 -0.037320  0.087203 -0.018461  -5.1024800726  -42.7930297004    67.97668
PITN 12DEC18 2012.9637 56279 1719 2  -42.8    772  0.877481   -564218  0.007917    67  0.976500  0.0080 0.000795 0.000701 0.003150 -0.036424  0.080110 -0.025585  -5.1024800639  -42.7930296854    67.97650
PITN 12DEC19 2012.9665 56280 1719 3  -42.8    772  0.876340   -564218  0.007940    67  0.980969  0.0080 0.000764 0.000690 0.003027 -0.039985  0.093076 -0.015009  -5.1024800637  -42.7930296957    67.98097
PITN 12DEC20 2012.9692 56281 1719 4  -42.8    772  0.878225   -564218  0.007024    67  0.979338  0.0080 0.000792 0.000709 0.003139 -0.057034  0.096146 -0.037029  -5.1024800720  -42.7930296787    67.97934
PITN 12DEC21 2012.9719 56282 1719 5  -42.8    772  0.876332   -564218  0.008086    67  0.971947  0.0080 0.000785 0.000711 0.003190 -0.032239  0.103766  0.031603  -5.1024800624  -42.7930296958    67.97195
PITN 12DEC22 2012.9747 56283 1719 6  -42.8    772  0.877071   -564218  0.004529    67  0.971510  0.0080 0.000805 0.000728 0.003249 -0.023657  0.117008 -0.034531  -5.1024800945  -42.7930296891    67.97151
PITN 12DEC23 2012.9774 56284 1720 0  -42.8    772  0.880775   -564218  0.006142    67  0.979545  0.0080 0.000792 0.000714 0.003176 -0.035433  0.044314 -0.038819  -5.1024800799  -42.7930296557    67.97955
PITN 12DEC24 2012.9802 56285 1720 1  -42.8    772  0.876630   -564218  0.008388    67  0.972125  0.0080 0.000764 0.000687 0.003032 -0.038485  0.079341 -0.040086  -5.1024800596  -42.7930296931    67.97212
PITN 12DEC25 2012.9829 56286 1720 2  -42.8    772  0.879858   -564218  0.007175    67  0.982666  0.0080 0.000763 0.000689 0.003019 -0.052124  0.081799 -0.005778  -5.1024800706  -42.7930296640    67.98267
PITN 12DEC26 2012.9856 56287 1720 3  -42.8    772  0.879379   -564218  0.009816    67  0.975056  0.0080 0.000754 0.000686 0.003025 -0.030399  0.076810  0.004112  -5.1024800467  -42.7930296683    67.97506
